Realisation number,Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean,Cross correlation
1,Non-breeding,0,116.34175489894203,118.5203346368517,-2.178579737909672,,,,,,,,,,,,
1,Non-breeding,2,118.08668530631155,117.0640500402253,1.0226352660862545,,,,,,,,,,,,
1,Non-breeding,4,113.88518096187035,115.60646326005158,-1.7212822981812366,,,,,,,,,,,,
1,Non-breeding,6,126.90827402289881,114.14766316009161,12.760610862807198,,,,,,,,,,,,
1,Non-breeding,8,109.6065377827203,112.68782808748534,-3.081290304765048,,,,,,,,,,,,
1,Non-breeding,10,115.465169096791,111.22720932062612,4.237959776164885,,,,,,,,,,,,
1,Non-breeding,12,133.34004547063012,109.76617197227655,23.573873498353564,,,,,,,,,,,,
1,Non-breeding,14,121.91447037315767,108.30495787703721,13.609512496120459,,,,,,,,,,,,
1,Non-breeding,16,110.37199788817513,106.8437726762853,3.5282252118898327,,,,,,,,,,,,
1,Non-breeding,18,108.94385401009232,105.382789682171,3.561064327921329,,,,,,,,,,,,
1,Non-breeding,20,98.88525467128144,103.92198712745603,-5.03673245617459,,,,,,,,,,,,
1,Non-breeding,22,100.80789293301581,102.46114401973993,-1.6532510867241257,,,,,,,,,,,,
1,Non-breeding,24,103.18075693105173,101.00010055731406,2.1806563737376763,,,,,,,,,,,,
1,Non-breeding,26,95.8869272123538,99.53871888813997,-3.6517916757861713,,,,,,,,,,,,
1,Non-breeding,28,96.54003183907489,98.07672167450554,-1.53668983543065,,,,,,,,,,,,
1,Non-breeding,30,102.36416309888178,96.61387025214546,5.750292846736315,,,,,,,,,,,,
1,Non-breeding,32,95.30263784858825,95.14989388663956,0.152743961948687,,,,,,,,,,,,
1,Non-breeding,34,95.33636903925633,93.68409866573018,1.6522703735261501,,,,,,,,,,,,
1,Non-breeding,36,93.18538475687214,92.21522546981772,0.9701592870544147,,,,,,,,,,,,
1,Non-breeding,38,83.59764469589672,90.74107354192107,-7.143428846024349,,,,,,,,,,,,
1,Non-breeding,40,95.12462670707882,89.25865128124781,5.86597542583101,,,,,,,,,,,,
1,Non-breeding,42,86.85800710393936,87.76717075518393,-0.9091636512445689,,,,,,,,,,,,
1,Non-breeding,44,68.70857112167616,86.31875776250143,-17.610186640825276,,,,,,,,,,,,
1,Non-breeding,46,77.32009513260002,84.89228699591773,-7.5721918633177125,,,,,,,,,,,,
1,Non-breeding,48,82.12413189319166,83.48522376498758,-1.3610918717959208,,,,,,,,,,,,
1,Non-breeding,50,81.78901013267115,82.09133278258507,-0.30232264991391844,,,,,,,,,,,,
1,Non-breeding,52,68.37747703832744,80.70564635284846,-12.32816931452102,,,,,,,,,,,,
1,Non-breeding,54,85.04331031156575,79.32141758074444,5.72189273082131,,,,,,,,,,,,
1,Non-breeding,56,67.32787285859126,77.93590438583801,-10.608031527246752,,,,,,,,,,,,
1,Non-breeding,58,75.9854555388206,76.54489212353444,-0.5594365847138363,,,,,,,,,,,,
1,Non-breeding,60,74.25843982128819,75.14242389375877,-0.8839840724705823,,,,,,,,,,,,
1,Non-breeding,62,63.09482877378957,73.72561474066524,-10.630785966875663,,,,,,,,,,,,
1,Non-breeding,64,64.6871322616447,72.2980316358934,-7.610899374248689,,,,,,,,,,,,
1,Non-breeding,66,76.45371069667085,70.86403330983113,5.589677386839725,,,,,,,,,,,,
1,Non-breeding,68,60.77295072230096,69.42824516497846,-8.655294442677501,,,,,,,,,,,,
1,Non-breeding,70,78.2985232428131,67.99697902071084,10.301544222102265,,,,,,,,,,,,
1,Non-breeding,72,67.69865677246025,66.5738516234621,1.1248051489981492,,,,,,,,,,,,
1,Non-breeding,74,63.463491123726705,65.15662151232608,-1.6931303885993785,,,,,,,,,,,,
1,Non-breeding,76,76.71477771236694,63.74287570104227,12.971902011324666,,,,,,,,,,,,
1,Non-breeding,78,65.61349491665231,62.33156114602348,3.2819337706288323,7.791749966986771,60.71136754803834,0.12880399285852812,0.12827867415887556,0.3348116005106871,0.0861046387715735,0.46297688340057785,1.3371909800279391,6.38069330333464,0.10509882351580808,0.07051141198365407,0.3597704083718384
1,Non-breeding,80,63.31307171042769,60.92347962221548,2.3895920882122113,7.788293948482996,60.657522627976846,0.13189534899198754,0.1328279475729726,0.3566752663382501,0.08734608133432206,0.4186690046729913,1.3164793111070947,,,,0.35823335424168623
1,Non-breeding,82,63.52209639835752,59.519322020584376,4.002774377773143,7.808704273396065,60.97586242935398,0.13522670359590852,0.13759546621658705,0.36651528070757666,0.08893557480178621,0.3879173313837393,1.2532942045195155,,,,0.36466426842297195
1,Non-breeding,84,58.64968417577411,58.11612762178051,0.5335565539936056,7.800637002311077,60.849937641824745,0.1515769569236227,0.1351388151395417,0.37143380582480084,0.09026329434462775,0.3668971324279147,1.2596301664599645,,,,0.3634640685983794
1,Non-breeding,86,57.346362668487934,56.71233623403455,0.6340264344533821,7.5442836185392395,56.916215316959516,0.17584100410428874,0.11801384304140322,0.2895929595390505,0.0890897113998921,0.4173633922278669,1.759861081738776,,,,0.3915690073895046
1,Non-breeding,88,52.88577814166435,55.307153923970084,-2.4213757823057307,7.537597457612565,56.8153754330074,0.18228134005942517,0.17819424932164513,0.33136714970913594,0.09052664634956281,0.4126694539135236,1.7729574995577395,6.735634913252775,0.1185530300894509,0.08089506545828913,0.3945564077893193
1,Non-breeding,90,57.65154750472537,53.9014459465658,3.750101558159571,7.531349123851545,56.72121962533942,0.15540322476253032,0.15892882043114573,0.3232009659490896,0.0920494496002125,0.4175040588658016,1.7916440842870394,,,,0.3905937772157129
1,Non-breeding,92,45.07964040487327,52.496305399349716,-7.416664994476449,6.6047947871447565,43.62331418029455,-0.043008251867382954,0.12476541129331509,0.29863397743010384,0.08296229861246143,-0.24311307052599332,0.42957134944851766,,,,0.4674000360608073
