Realisation number,Variable,index,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax/Mean,Skewness,Kurtosis,Standard deviation,Smax,Variance,Lag-3 AC,Smax/Var,Cross correlation
1,Non-breeding,0,0.913687508901866,0.9222333000997012,0.9988605611736222,0.9999999999999999,-0.4584816977638514,-0.9171058253809999,0.9689502919811993,0.9999999999999999,0.9689502919811993,0.8091439965816837,0.9999999999999999,0.049350649350649346
1,Breeding,0,0.7612875658738072,0.9042871385842475,0.9871813132032475,0.6,0.729383278735223,0.846175758438969,-0.965247115795471,-0.3333333333333333,-0.965247115795471,0.1442814413901154,0.06666666666666665,0.049350649350649346
2,Non-breeding,0,0.7510326164364052,0.8379148269477285,0.9968665432274606,0.9999999999999999,0.7991739068508761,-0.8208232445520582,0.9296396524711581,0.9999999999999999,0.9296396524711581,0.5650192280301952,0.6,-0.08489405331510594
2,Breeding,0,0.7615724255804017,0.9202392821535395,0.9820538384845465,0.8666666666666666,-0.1180743483834212,0.798034468024498,-0.9649622560888764,-0.2,-0.9649622560888764,-0.10554052129326309,0.8666666666666666,-0.08489405331510594
3,Non-breeding,0,0.7162797322318759,0.7080188007406354,0.9997151402934057,0.9999999999999999,0.9074205953567869,-0.910269192422732,0.9589802022503918,0.9999999999999999,0.9589802022503918,0.7698333570716422,0.4666666666666666,0.44433811802232853
3,Breeding,0,0.8142714713003847,0.8934624697336563,0.9914542088021651,0.9999999999999999,0.24939467312348673,0.6165788349238001,-0.7487537387836491,0.7333333333333333,-0.7487537387836491,0.7966101694915255,0.8666666666666666,0.44433811802232853
4,Non-breeding,0,0.8376299672411339,0.7094430992736079,0.9997151402934057,0.9999999999999999,0.8854863979490103,-0.970374590514172,0.9706594502207665,0.9999999999999999,0.9706594502207665,0.7433414043583536,-0.06666666666666665,-0.23362952836637044
4,Breeding,0,-0.06708446090300528,0.7413473864121921,0.9934482267483266,0.9999999999999999,-0.1573849878934625,0.7598632673408348,-0.921663580686512,-0.4666666666666666,-0.921663580686512,0.5017803731662157,0.7333333333333333,-0.23362952836637044
5,Non-breeding,0,0.6695627403503775,0.5866685657313774,0.9974362626406496,0.9999999999999999,0.7416322461187866,-0.9131177894886771,0.9461615154536392,0.9999999999999999,0.9461615154536392,0.7285286996154395,0.7333333333333333,0.6354522670312144
5,Breeding,0,0.8350662298817834,0.9344822674832646,0.983478137017519,0.8666666666666666,0.6587380714997865,0.9074205953567869,-0.9438826378008832,0.2,-0.9438826378008832,0.6339552770260648,0.8666666666666666,0.6354522670312144
6,Non-breeding,0,0.8359208090015668,0.8857712576556048,0.9985757014670277,0.9999999999999999,0.49636803874092017,-0.4542088021649338,0.966386554621849,0.9999999999999999,0.966386554621849,0.796325309784931,0.9999999999999999,-0.03340168603326498
6,Breeding,0,0.7598632673408348,0.9481555333998007,0.985187295257086,0.9999999999999999,-0.8513032331576701,-0.4220196553197551,-0.673265916536106,0.4666666666666666,-0.673265916536106,0.6470588235294118,0.9999999999999999,-0.03340168603326498
7,Non-breeding,0,0.6866543227460477,0.7877795185870959,0.9997151402934057,0.9999999999999999,0.7555903717419172,-0.8897592935479278,0.9589802022503918,0.9999999999999999,0.9589802022503918,0.35422304515026354,-0.06666666666666665,-0.02629300524037366
7,Breeding,0,0.6262640649480132,0.9450220766272611,0.987466172909842,0.9999999999999999,0.5917960404500784,0.8114228742344396,-0.9168209656744054,-0.06666666666666665,-0.9168209656744054,0.7544509329155392,0.9999999999999999,-0.02629300524037366
8,Non-breeding,0,0.8082894174619002,0.8985899444523574,1.0,0.9999999999999999,0.6929212362911268,-0.9837629967241135,0.9831932773109244,0.9999999999999999,0.9831932773109244,0.7017518871955563,0.9999999999999999,-0.0455228981544771
8,Breeding,0,0.4841190713573566,0.9407491810283436,0.9928785073351375,0.9999999999999999,0.6279732231875802,0.8732374305654466,-0.8809286426434982,-0.6,-0.8809286426434982,0.8236718416180033,0.9999999999999999,-0.0455228981544771
9,Non-breeding,0,0.7538812135023502,0.8174049280729241,0.9991454208802167,0.9999999999999999,0.35792622133599206,-0.6963395527702607,0.9575559037174193,0.9999999999999999,0.9575559037174193,0.595499216635807,0.6,0.26589200273410796
9,Breeding,0,-0.46816692778806446,0.923942458339268,0.9925936476285431,0.8666666666666666,0.5892323030907279,0.4943740207947587,-0.9413189004415328,-0.8666666666666666,-0.9413189004415328,-0.023500925794046435,0.6,0.26589200273410796
10,Non-breeding,0,0.7313772966813845,0.7647058823529412,0.9991454208802167,0.9999999999999999,0.5658738071499787,-0.8681099558467456,0.9814841190713575,0.9999999999999999,0.9814841190713575,0.5624554906708448,-0.2,0.15561631351105035
10,Breeding,0,0.6524711579547074,0.9615439396097424,0.9900299102691926,0.9999999999999999,0.739638228172625,0.7986041874376871,-0.8900441532545224,0.3333333333333333,-0.8900441532545224,0.7783791482694774,0.8666666666666666,0.15561631351105035
11,Non-breeding,0,0.8752314485116083,0.910269192422732,0.9991454208802167,0.9999999999999999,-0.4881071072496796,-0.9401794616151546,0.9623985187295259,0.9999999999999999,0.9623985187295259,0.44366899302093726,0.6,-0.10740487582592845
11,Breeding,0,-0.07733941034040735,0.7880643782936905,0.9789203817120069,-0.06666666666666665,-0.04657456202820112,0.5917960404500784,-0.9002991026919244,-0.9999999999999999,-0.9002991026919244,-0.284147557328016,-0.6,-0.10740487582592845
12,Non-breeding,0,0.8926078906138728,0.9427431989745052,0.9994302805868112,0.9999999999999999,0.2941176470588236,-0.595499216635807,0.9213787209799175,0.8666666666666666,0.9213787209799175,0.8834923800028487,0.2,0.3205741626794258
12,Breeding,0,0.914257228315055,0.8971656459193847,0.9803446802449796,0.9999999999999999,0.29383278735222906,0.7436262640649481,-0.9057114371172199,0.2,-0.9057114371172199,0.7498931776100272,0.8666666666666666,0.3205741626794258
13,Non-breeding,0,0.6496225608887624,0.8057256801025496,1.0,0.9999999999999999,0.02407064520723544,-0.8287993163367043,0.9592650619569862,0.9999999999999999,0.9592650619569862,0.5784076342401367,0.9999999999999999,-0.06338573706994759
13,Breeding,0,0.43085030622418463,0.9359065660162371,0.983478137017519,0.8666666666666666,-0.02036746902150691,0.7806580259222334,-0.841618003133457,-0.9999999999999999,-0.841618003133457,0.9005839623985189,0.4666666666666666,-0.06338573706994759
14,Non-breeding,0,0.6886483406922093,0.8974505056259793,0.9991454208802167,0.9999999999999999,-0.48326449223757306,-0.8410482837202679,0.986326734083464,0.9999999999999999,0.986326734083464,0.6892180601053982,0.9999999999999999,0.011711095921622236
14,Breeding,0,0.34738641219199545,0.9361914257228315,0.9897450505625981,0.8666666666666666,0.23629112662013962,0.414043583535109,-0.9473009542800173,0.06666666666666665,-0.9473009542800173,0.6071784646061815,0.8666666666666666,0.011711095921622236
15,Non-breeding,0,0.5026349522859992,0.8239567013245978,0.9968665432274606,0.9999999999999999,0.7592935479276457,-0.7627118644067797,0.9521435692921238,0.9999999999999999,0.9521435692921238,0.40407349380430146,0.8666666666666666,-0.3558441558441558
15,Breeding,0,-0.07619997151402935,0.8760860276313917,0.9854721549636806,0.9999999999999999,0.3562170630964251,0.8669705170203676,-0.978350662298818,-0.8666666666666666,-0.978350662298818,0.6615866685657315,0.8666666666666666,-0.3558441558441558
16,Non-breeding,0,0.7578692493946733,0.6575986326734085,0.9991454208802167,0.9999999999999999,0.41831647913402653,-0.9490101125195842,0.9732231875801169,0.9999999999999999,0.9732231875801169,0.7256801025494944,0.7333333333333333,0.36377306903622686
